Date,Username,Won,Margin,HandStrength
2020-12-15,John P,0,-730,37
2020-12-15,jrb,0,-730,28
2020-12-15,Chris,1,730,42
2020-12-15,Majda,1,730,35
2020-12-16,John P,1,400,89
2020-12-16,jrb,0,-400,64
2020-12-16,Mike,1,400,71
2020-12-16,Dani,0,-400,65
2020-12-19,John P,0,-370,36
2020-12-19,jrb,0,-370,36
2020-12-19,Mike,1,370,32
2020-12-19,Chris,1,370,37
2020-12-20,John P,1,310,185
2020-12-23,kitty,0,-790,32
2020-12-23,John P,1,720,48
2020-12-23,John P,1,150,50
2020-12-24,John P,0,-70,59
2020-12-24,jrb,0,-70,81
2020-12-24,Dani,1,70,70
2020-12-24,kitty/rich,1,70,59
2020-12-25,AME,0,-390,47
2020-12-25,jrb,0,-390,43
2020-12-25,kitty/rich,1,390,37
2020-12-25,Zach,1,390,44
2020-12-25,John P,0,-150,65
2020-12-25,Chris,0,-150,105
2020-12-25,Dani,1,150,95
2020-12-25,kitty/rich,1,200,33
2020-12-25,Zach,1,200,34
2020-12-25,jrb,0,-200,36
2020-12-25,AME,0,-200,35
2020-12-25,John P,1,480,116
2020-12-25,Chris,1,480,156
2020-12-25,Dani,0,-480,151
2020-12-25,John P,0,-160,158
2020-12-25,Chris,0,-160,226
2020-12-25,Dani,1,160,199
2020-12-25,Matt,1,160,74
2020-12-25,Mike,1,100,48
2020-12-25,jrb,1,100,61
2020-12-25,Zach,0,-100,45
2020-12-25,AME,0,-100,58
2020-12-25,Dani,0,-200,33
2020-12-25,John P,0,-200,31
2020-12-25,Chris,1,200,33
2020-12-25,Matt,1,200,38
2020-12-27,John P,1,680,41
2020-12-27,Chris,1,680,57
2020-12-27,Mike,0,-680,46
2020-12-27,jrb,0,-680,54
2020-12-27,John P,0,-180,79
2020-12-27,Chris,0,-180,104
2020-12-27,Mike,1,180,116
2020-12-27,jrb,1,180,99
2020-12-29,John P,0,-460,62
2020-12-29,Dani,0,-460,61
2020-12-29,Zach,1,460,97
2020-12-29,jrb,1,460,82
2020-12-30,Dani,0,-600,89
2020-12-30,John P,0,-600,76
2020-12-30,jrb,1,600,77
