C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Username,Bid,Tricks
JD,7C,4C,8C,6S,6D,7H,AH,8S,5D,Rich,7N,5
9H,7S,AC,7H,JD,JS,QS,TS,KH,JC,John P,7S,8
TH,7S,6C,5S,JH,JJ,KS,8D,8C,7H,kitty,7H,9
KC,KS,4S,4C,KH,JS,5S,8H,9H,QS,kitty,6S,10
KD,7S,QD,4D,7D,4H,KH,TH,5H,6C,jrb,6N,3
4S,8H,8D,AS,KS,4H,7H,JS,KH,TH,John P,7S,7
KC,QS,9H,AH,TC,JS,JC,5H,9D,JD,John P,7C,9
AH,QC,7C,4H,5S,8H,KD,6H,QH,7S,Rich,6H,7
4C,QD,9D,JC,KC,5D,9C,KS,8S,7D,kitty,7C,5
TH,QC,5H,JH,JJ,QD,JC,7H,4H,TC,Rich,6C,8
TC,KC,JC,8H,4C,5H,AH,9D,7C,7S,jrb,7C,9
JH,AS,8D,AH,5S,4C,9H,9D,QH,QS,kitty,6H,6
7H,JD,KH,TC,KS,7S,AD,5S,JJ,QC,John P,6H,9
8S,5S,KS,JD,JH,8H,9C,9S,7D,QD,John P,6D,9
JH,AD,9D,9S,JJ,JC,9C,7C,QS,AH,jrb,8C,8
AH,QS,7C,7S,8S,TD,JJ,6H,TC,JC,Mike,7C,10
KS,6H,4C,5C,TH,6S,KH,AH,QD,7H,John P,7N,4
QH,QS,6C,QC,4S,TC,5C,7S,AS,JC,John P,7S,6
6C,5D,TD,JJ,JH,QC,9D,7C,KD,6H,John P,7D,9
AH,9H,7C,6H,KC,JD,5S,7H,QS,KD,Mike,6H,9
KD,6C,4D,8D,KS,TH,AD,6D,7C,JD,Mike,7D,9
KC,7D,9C,7S,8H,KH,4C,TS,8S,4H,Matt,6H,7
JD,TD,5C,8S,QC,AS,TC,7H,JH,JC,jrb,6H,8
AH,JD,6D,7D,5D,8H,6C,JJ,5H,6S,John P,7H,7
4S,QS,AH,5H,7D,JD,TD,4H,JJ,8H,John P,7H,10
7H,5D,9D,7S,QC,AC,5C,9S,8D,4D,Matt,7N,5
JH,9C,8H,QS,8D,QD,JC,KH,9H,4D,Matt,6H,7
TH,7C,JJ,TD,KC,QS,5C,4S,TC,8C,John P,7C,9
6D,AD,TH,9S,JD,9C,QS,JS,JH,KH,John P,7D,7
9S,JS,5C,KH,7H,5H,5S,TH,8S,JC,Dani,7S,8
AC,9C,7D,7C,JH,QH,7S,KS,9S,5S,Dani,7C,8
JH,9C,8S,QH,JC,KH,AH,8D,JJ,AS,John P,7H,9
KH,8H,5C,5H,7H,QS,JD,7S,6H,8C,John P,6H,7
TH,JC,4D,5C,6D,5S,8C,5D,9H,5H,kitty/rich,7S,7
8C,4C,7C,9S,7D,JS,AS,4S,4D,JJ,Dani,7S,8
8S,7S,6H,5S,QS,5D,JH,KD,QH,7H,Dani,7S,9
JH,4S,QS,QH,9S,JC,6H,8H,7H,9H,John P,7H,8
JJ,6S,KH,4H,QC,KC,5S,QD,6C,KS,jrb,6N,9
TH,4H,8H,KC,8C,8S,4C,JC,9S,JS,John P,8C,7
4D,9D,5H,QD,5D,KD,QS,4C,6H,AH,John P,6N,9
8D,5D,AC,JH,KS,KH,QD,9H,4S,5H,jrb,7H,8
5S,9C,8C,6S,QC,JC,AD,JS,7S,4C,kitty/rich,7C,7
TS,JJ,JH,5D,5C,9H,6D,AH,9S,5H,Little John,8H,7
KD,JD,JH,8H,6S,9H,5H,5C,6H,7H,kitty/rich,7H,8
JS,6H,AH,9C,TS,JD,JJ,QH,KD,QS,Little John,7H,8
6H,7H,7S,4H,9H,TH,9C,JH,KC,AH,Chris,7H,9
TC,KH,QD,AH,8D,5H,7D,JC,TS,6H,AME,6H,7
4H,KD,AH,QD,JD,KS,6C,5C,8D,QS,Little John,7D,8
JJ,5C,4D,AD,AH,9S,JC,8D,4H,8C,Zach,7C,9
AH,6H,8H,JC,AC,JD,8D,JS,9S,9H,Chris,7H,6
9D,TH,JD,QS,TS,TD,9C,AD,QD,8H,Dani,7D,10
5D,QH,7C,AH,TS,9H,AC,JH,KD,AS,Chris,7H,5
8S,JD,TS,6H,JJ,7C,8H,AC,4D,JH,John P,7H,8
9C,QC,JJ,7S,8H,JH,5C,4D,JC,AH,AME,7C,8
KC,AH,TH,6D,5H,QD,7D,4D,JD,8H,John P,8H,8
